lineNo. #1 #3 #5 #7 #10 #50 #100 
658 0 0 0 0 0 0 0 
659 0 0 0 0 0 0 0 
660 0 0 0 0 0 0 0 
661 1 1 1 1 1 1 1 
662 1 1 1 1 1 1 1 
663 1 1 1 1 1 1 1 
664 1 1 1 1 1 1 1 
665 1 1 1 1 1 1 1 
666 0 0 0 0 0 0 0 
667 1 1 1 1 1 1 1 
668 0 0 0 0 0 0 0 
669 1 1 1 1 1 1 1 
670 1 1 1 1 1 1 1 
671 0 0 0 0 0 0 0 
672 0 0 0 0 0 0 0 
673 1 1 1 1 1 1 1 
674 1 1 1 1 1 1 1 
675 1 1 1 1 1 1 1 
676 1 1 1 1 1 1 1 
677 0 0 0 0 0 0 0 
678 0 0 0 0 0 0 0 
679 0 0 0 0 0 0 0 
680 0 0 0 0 0 0 0 
681 0 0 0 0 0 0 0 
682 1 1 1 1 1 1 1 
683 0 0 0 0 0 0 0 
684 1 1 1 1 1 1 1 
685 0 0 0 0 0 0 0 
686 0 0 0 0 0 0 0 
687 0 0 0 0 0 0 0 
688 1 1 1 1 1 1 1 
689 1 1 1 1 1 1 1 
690 0 0 0 0 0 0 0 
691 0 0 0 0 0 0 0 
692 0 0 0 0 0 0 0 
693 1 1 1 1 1 1 1 
694 1 1 1 1 1 1 1 
695 0 0 0 0 0 0 0 
696 0 0 0 0 0 0 0 
697 1 1 1 1 1 1 1 
698 1 1 1 1 1 1 1 
699 1 1 1 1 1 1 1 
700 1 1 1 1 1 1 1 
701 1 1 1 1 1 1 1 
702 1 1 1 1 1 1 1 
703 0 0 0 0 0 0 0 
704 0 0 0 0 0 0 0 
705 0 0 0 0 0 0 0 
706 0 0 0 0 0 0 0 
707 1 1 1 1 1 1 1 
708 0 0 0 0 0 0 0 
709 0 0 0 0 0 0 0 
710 0 0 0 0 0 0 0 
711 1 1 1 1 1 1 1 
712 1 1 1 1 1 1 1 
713 0 0 0 0 0 0 0 
714 0 0 0 0 0 0 0 
715 0 0 0 0 0 0 0 
716 0 0 0 0 0 0 0 
717 1 1 1 1 1 1 1 
718 1 1 1 1 1 1 1 
719 1 1 1 1 1 1 1 
720 0 0 0 0 0 0 0 
721 1 1 1 1 1 1 1 
722 1 1 1 1 1 1 1 
723 0 0 0 0 0 0 0 
724 0 0 0 0 0 0 0 
725 1 1 1 1 1 1 1 
726 0 0 0 0 0 0 0 
727 1 1 1 1 1 1 1 
728 1 1 1 1 1 1 1 
729 0 0 0 0 0 0 0 
730 1 1 1 1 1 1 1 
731 1 1 1 1 1 1 1 
732 0 1 1 1 1 1 1 
733 0 0 0 0 0 0 0 
734 1 1 1 1 1 1 1 
735 0 1 1 1 1 1 1 
736 1 1 1 1 1 1 1 
737 1 1 1 1 1 1 1 
738 0 0 0 0 0 0 0 
739 0 0 0 0 0 0 0 
740 1 1 1 1 1 1 1 
741 0 0 0 0 0 0 0 
742 1 1 1 1 1 1 1 
743 1 1 1 1 1 1 1 
744 0 0 0 0 0 0 0 
745 0 0 0 0 0 0 0 
746 0 0 0 0 0 0 0 
747 0 0 0 0 0 0 0 
748 0 0 0 0 0 0 0 
749 1 1 1 1 1 1 1 
750 0 0 0 0 0 0 0 
751 0 0 0 0 0 0 0 
752 0 0 0 0 0 0 0 
753 1 1 1 1 1 1 1 
754 1 1 1 1 1 1 1 
755 1 1 1 1 1 1 1 
756 1 1 1 1 1 1 1 
757 0 0 0 0 0 0 0 
758 0 0 0 0 0 0 0 
759 0 0 0 0 0 0 0 
760 0 0 0 0 0 0 0 
761 0 0 0 0 0 0 0 
762 1 1 1 1 1 1 1 
763 0 0 0 0 0 0 0 
764 0 0 0 0 0 0 0 
765 0 0 0 0 0 0 0 
